mtime,BQ,BY,EL,ER,FG,FU,KR,LO,LR,O
2021-11-01T05:25,19801,30244,26295,28277,22661,18360,22267,22752,29539,20089
2021-11-01T05:30,17333,19595,28106,31047,18266,23667,16890,26107,24334,17819
2021-11-01T05:35,22142,25360,27391,27458,23639,21896,22961,25105,31600,25368
2021-11-01T05:40,20618,16158,31309,20836,17167,20244,22537,24189,30034,25707
2021-11-01T05:45,24514,24925,27486,22957,28249,23118,20146,23529,27340,23812
2021-11-01T05:50,27200,29760,25775,22918,22844,20874,21941,27239,29754,14554
2021-11-01T05:55,20557,25742,27135,23138,21159,23606,27082,16504,26310,25905
2021-11-01T06:00,23411,25997,30356,29061,19750,19058,21410,22221,29922,24538
2021-11-01T06:05,16756,17255,24765,29686,20173,24157,24708,23946,23540,23832
2021-11-01T06:10,20719,27129,30169,24980,22170,22230,22057,19521,26308,25199
2021-11-01T06:15,21435,31497,26298,20722,18217,22384,24104,20892,21555,23588
2021-11-01T06:20,23258,27760,23869,24997,20297,22945,19268,23736,26801,23252
2021-11-01T06:25,14212,31291,24874,24365,21143,23297,20514,19285,30734,23055
2021-11-01T06:30,22079,29990,23914,28144,17902,22295,26133,21013,30923,21094
2021-11-01T06:35,20859,28858,24742,25343,23556,25478,21678,22635,24872,19242
2021-11-01T06:40,18822,28035,22995,23749,0,24351,22593,22801,25827,21307
2021-11-01T06:45,20604,25447,26345,18593,19884,22787,17042,21701,30084,23388
2021-11-01T06:50,18508,28176,30445,27813,20438,24493,27428,20838,31743,22711
2021-11-01T06:55,21143,22385,30764,21348,18635,22276,16175,24786,23900,25306
2021-11-01T07:00,22878,23253,28738,27924,20301,21355,19842,21483,27676,21229
2021-11-01T07:05,17906,26034,22533,25599,19840,25257,20888,21306,24814,19816
2021-11-01T07:10,22333,27269,21662,32477,26645,23829,17770,22646,28874,21939
2021-11-01T07:15,21167,19652,32137,23754,18722,25722,22738,19537,22530,25439
2021-11-01T07:20,25299,23342,28412,25908,25013,24218,21290,24798,24541,24149
2021-11-01T07:25,20458,23108,24382,26398,25996,20409,19569,24395,26839,19314
2021-11-01T07:30,19749,23776,26521,25582,15973,21257,20463,20130,25526,24023
2021-11-01T07:35,23129,24453,29178,23182,20075,20000,27946,20992,27070,20131
2021-11-01T07:40,18492,27722,20058,27523,15031,23760,21019,23904,29258,18424
2021-11-01T07:45,18878,24220,28301,25144,24115,20419,26326,25060,22879,19102
2021-11-01T07:50,22994,22372,29574,25704,27880,25937,19993,22353,27947,23115
2021-11-01T07:55,13651,22062,27359,20350,21069,23588,19975,22950,29966,21432
2021-11-01T08:00,22507,27644,25086,26673,23031,27808,0,19168,32653,22387
2021-11-01T08:05,20512,31646,28906,27853,24772,21317,21959,22729,30669,20982
2021-11-01T08:10,17467,23424,25925,21227,17595,19415,18990,17402,27822,22548
2021-11-01T08:15,21737,24366,27948,30690,23067,22264,18902,25400,22370,22676
