site_name,AG,AM,AQ,BZ,CU,ER,EZ,FY,GT,HM,IY,KZ,LT,NP,NY,OT,PV,RS,RU,VX
HT,332,298,181,191,277,347,214,300,259,259,316,279,217,167,192,303,237,334,208,272
Hl,271,179,213,243,288,305,187,296,202,219,272,228,183,147,310,265,287,282,233,187
Hv,282,294,253,252,194,272,288,269,301,335,286,298,209,219,213,298,227,291,197,219
Ib,214,256,245,233,183,224,279,156,256,201,227,334,260,232,262,227,280,225,208,195
JT,243,334,222,224,220,227,235,196,246,185,274,264,258,313,306,277,257,323,233,301
JX,321,295,292,343,172,292,262,248,254,213,187,276,269,261,253,233,283,265,244,128
K1,285,293,297,299,226,254,313,315,298,272,252,264,271,287,288,102,226,221,215,160
K3,309,152,187,211,246,238,169,261,214,361,223,245,265,223,288,317,204,309,223,276
K6,261,279,298,272,270,281,261,296,244,299,197,262,238,233,305,264,239,294,226,277
KN,302,293,262,160,244,242,222,281,187,231,234,286,263,163,293,267,260,249,336,264
Kp,200,270,296,315,263,285,348,223,188,212,364,281,179,262,327,402,294,215,318,211
Lo,248,295,269,264,222,275,341,246,267,270,298,230,233,270,154,289,215,254,279,285
MN,273,214,305,279,225,326,238,292,241,211,234,242,272,313,293,325,249,316,245,192
NQ,248,189,218,215,295,299,304,343,260,224,168,253,112,319,208,364,177,150,240,273
Ne,288,317,272,239,246,345,280,250,213,215,231,211,249,239,266,247,320,249,269,238
Ns,260,105,258,258,306,275,296,329,218,186,292,260,244,217,215,275,219,305,213,209
OX,304,236,310,229,262,190,241,296,290,192,224,185,206,288,323,269,237,245,231,261
Ob,211,312,241,243,228,183,125,276,213,316,162,275,244,295,298,223,235,278,209,332
PU,206,308,229,269,258,308,226,339,230,266,254,240,273,226,323,298,278,314,250,301
PW,372,270,305,260,229,199,275,244,276,274,203,218,297,269,238,335,344,334,188,228
PY,233,233,238,217,238,270,112,142,254,406,235,415,314,194,298,266,268,192,313,300
Pp,272,201,325,327,314,182,291,241,190,241,229,288,240,244,194,337,300,217,271,227
RU,403,269,255,201,344,281,128,245,221,253,342,317,265,253,288,293,257,232,292,284
RW,277,208,269,245,206,206,278,270,241,193,193,250,208,315,268,204,263,231,227,268
RZ,246,255,304,209,239,235,326,200,231,251,228,288,349,291,177,301,227,274,281,306
Ru,257,242,240,212,354,221,296,176,307,266,302,337,225,307,279,291,202,245,241,290
Ry,322,309,249,162,293,252,218,286,247,299,201,251,324,283,312,346,289,219,199,348
Sq,331,288,264,282,283,178,277,216,275,250,254,247,252,286,235,248,237,215,266,230
Sz,304,247,250,231,249,306,218,153,204,314,265,254,298,207,319,264,232,201,227,314
T1,223,186,267,354,226,217,251,199,315,288,259,162,288,190,236,322,372,296,323,273
T2,227,222,252,155,281,238,172,296,220,309,326,302,287,246,245,263,304,268,269,208
Vc,195,193,252,227,272,361,264,216,192,291,223,283,196,267,227,253,278,292,236,233
Vn,348,178,283,286,234,240,173,306,221,223,246,209,241,317,310,295,240,300,249,227
Wp,241,261,269,322,289,337,163,282,283,323,237,294,228,217,276,254,260,283,274,309
Xw,212,304,225,172,214,245,259,249,276,202,193,295,327,117,259,186,305,330,253,216
Yv,233,355,256,269,294,321,229,198,242,267,238,299,333,231,269,141,300,392,278,209
Zb,258,251,211,180,311,253,275,294,334,313,184,291,207,324,281,223,196,278,189,355
Zc,229,245,335,311,259,281,333,218,315,243,231,315,259,233,270,246,289,253,240,346
ah,225,209,276,247,324,314,256,137,357,154,320,245,277,294,312,305,340,246,205,288
ar,240,199,293,229,309,242,247,331,290,169,258,288,265,242,152,355,269,219,213,182
b1,289,235,262,261,313,221,266,269,317,171,254,268,298,258,292,296,176,323,234,284
b5,192,334,293,282,267,312,236,275,280,252,367,260,244,267,332,280,273,229,241,254
bh,160,291,334,232,265,246,229,267,234,330,262,261,249,359,262,274,265,276,237,257
bv,222,246,292,241,288,355,271,311,298,267,300,291,280,222,155,238,357,236,322,314
bw,372,281,322,256,174,275,267,233,268,226,254,288,240,252,206,248,155,259,244,252
bx,221,290,168,226,219,264,240,338,349,300,199,272,266,371,233,292,246,281,209,179
c5,347,241,215,248,295,241,219,235,247,264,330,173,232,147,299,219,361,375,312,271
cf,153,198,224,191,240,325,408,261,275,268,251,335,242,289,294,313,327,192,179,250
d5,280,307,279,212,215,312,248,265,217,223,257,296,272,265,208,303,197,275,199,347
d8,284,259,228,251,243,347,252,288,265,152,259,284,250,297,315,201,290,302,346,250
dp,227,198,256,185,174,201,286,282,340,361,275,307,249,217,246,203,265,290,248,150
e2,313,221,313,209,244,339,295,281,279,245,210,219,227,255,316,332,240,200,267,187
g8,258,215,265,211,259,347,235,247,181,400,222,227,300,281,202,303,286,243,194,233
gm,382,199,316,252,278,291,167,270,247,279,199,169,299,247,255,263,311,310,242,183
go,217,242,234,252,265,233,256,296,235,232,254,212,353,288,226,213,236,245,279,302
in,300,214,381,211,240,342,191,297,279,291,203,284,322,256,281,255,292,178,263,281
iu,263,270,283,273,147,290,271,278,241,288,228,319,248,193,294,290,381,259,299,289
j6,272,177,336,302,189,164,206,324,231,198,268,208,288,298,218,271,270,225,321,248
j7,268,202,292,308,223,280,315,297,256,296,171,236,289,233,336,241,238,208,255,247
kw,224,234,244,203,328,281,221,299,250,461,210,216,235,302,180,275,324,269,284,287
n9,243,200,303,314,252,263,213,222,240,209,349,273,236,212,203,228,357,244,256,167
no,197,233,277,255,142,212,220,306,317,207,219,182,317,328,277,212,272,194,253,332
ox,250,225,242,294,253,160,211,275,270,218,179,269,288,234,208,282,284,164,299,254
p1,396,268,309,269,296,226,261,184,251,191,255,157,243,261,278,286,213,257,245,231
p3,281,278,208,332,300,282,251,272,273,295,254,205,175,240,237,261,288,309,266,275
px,245,262,168,289,297,186,194,246,287,181,337,300,272,305,237,264,225,264,249,238
q4,300,312,347,321,273,288,154,275,281,310,155,202,341,216,242,287,170,201,253,292
t1,180,243,234,151,168,305,323,273,299,281,239,179,234,219,358,264,242,258,227,308
vz,151,269,299,119,259,268,231,295,255,315,239,298,237,248,387,303,260,173,290,321
y4,204,216,242,188,273,298,224,124,284,186,264,279,177,254,205,164,290,250,220,305
y5,262,315,313,284,279,269,239,253,207,173,229,281,331,320,234,302,262,249,302,221
